---- ma-ff: ../data/simple/pfile.proto ----
9 1 1 3 1
8 1 1 6 1
9 1 1 3 0
9 1 0 3 1
6 0 1 3 1
7 1 1 6 0
8 1 0 6 1
6 0 1 6 1
6 1 1 2 0
7 1 0 6 0
6 0 1 6 0
6 1 1 2 1
5 1 1 4 0
6 1 0 2 0
6 0 1 2 0
9 1 0 3 0
6 0 0 3 1
6 0 1 3 0
5 1 1 4 1
6 1 0 2 1
6 0 1 2 1
5 1 0 4 0
4 0 1 4 0
4 0 1 4 1
3 0 1 0 0
4 0 0 4 0
6 0 0 2 0
6 0 0 6 0
6 0 0 6 1
6 0 0 3 0
3 0 1 0 1
4 0 0 4 1
3 0 0 0 0
3 1 1 0 0
3 0 0 0 1
2 0 0 5 0
3 1 0 0 0
5 1 0 4 1
6 0 0 2 1
2 0 0 5 1
3 1 0 0 1
1 0 1 5 0
2 1 0 5 0
1 0 1 5 1
0 0 1 1 0
9 1 1 3 1
8 1 1 6 1
9 1 1 3 0
9 1 0 3 1
6 0 1 3 1
7 1 1 6 0
8 1 0 6 1
6 0 1 6 1
6 1 1 2 0
7 1 0 6 0
6 0 1 6 0
6 1 1 2 1
5 1 1 4 0
6 1 0 2 0
6 0 1 2 0
9 1 0 3 0
6 0 0 3 1
6 0 1 3 0
5 1 1 4 1
6 1 0 2 1
6 0 1 2 1
5 1 0 4 0
4 0 1 4 0
4 0 1 4 1
3 0 1 0 0
4 0 0 4 0
6 0 0 2 0
6 0 0 6 0
6 0 0 6 1
6 0 0 3 0
3 0 1 0 1
4 0 0 4 1
3 0 0 0 0
3 1 1 0 0
3 0 0 0 1
2 0 0 5 0
3 1 0 0 0
5 1 0 4 1
6 0 0 2 1
2 0 0 5 1
3 1 0 0 1
1 0 1 5 0
2 1 0 5 0
1 0 1 5 1
0 0 1 1 0
9 1 1 3 1
8 1 1 6 1
9 1 1 3 0
9 1 0 3 1
6 0 1 3 1
7 1 1 6 0
8 1 0 6 1
6 0 1 6 1
6 1 1 2 0
7 1 0 6 0
6 0 1 6 0
6 1 1 2 1
5 1 1 4 0
6 1 0 2 0
6 0 1 2 0
9 1 0 3 0
6 0 0 3 1
6 0 1 3 0
5 1 1 4 1
6 1 0 2 1
6 0 1 2 1
5 1 0 4 0
4 0 1 4 0
4 0 1 4 1
3 0 1 0 0
4 0 0 4 0
6 0 0 2 0
6 0 0 6 0
6 0 0 6 1
6 0 0 3 0
3 0 1 0 1
4 0 0 4 1
3 0 0 0 0
3 1 1 0 0
3 0 0 0 1
2 0 0 5 0
3 1 0 0 0
5 1 0 4 1
6 0 0 2 1
2 0 0 5 1
3 1 0 0 1
1 0 1 5 0
2 1 0 5 0
1 0 1 5 1
0 0 1 1 0
---- ma-ff: ../data/simple/pfile.proto END ----
---- ma-ff: ../data/ma-benchmarks/depot/pfile1.proto ----
21 1 0 2 0 0 0 0 0 0 1 1 0 7 6
17 3 0 2 0 0 1 0 1 0 1 0 0 3 6
12 3 3 2 0 1 1 0 1 1 0 0 0 3 2
10 1 3 2 0 1 0 0 0 1 0 1 0 7 2
9 3 3 2 0 0 1 0 1 1 0 0 0 3 1
13 1 3 2 0 0 0 0 0 1 0 1 0 7 1
7 3 3 2 1 0 1 0 1 1 0 0 0 3 1
8 3 3 2 2 0 1 0 1 1 0 0 0 3 1
9 3 3 0 0 0 1 0 1 1 0 0 0 3 1
8 3 3 1 0 0 1 0 1 1 0 0 0 3 1
8 1 3 2 1 0 0 0 0 1 0 1 0 7 1
5 3 3 2 1 0 0 0 1 1 0 0 0 1 1
